Shape of X [B, N]: torch.Size([1, 472])
Shape of y: torch.Size([1]) torch.int64
| epoch   5 |   160/  360 batches | accuracy    1.000
| epoch   5 |   165/  360 batches | accuracy    0.800
| epoch   5 |   170/  360 batches | accuracy    1.000
| epoch   5 |   175/  360 batches | accuracy    1.000
| epoch   5 |   180/  360 batches | accuracy    1.000
| epoch   5 |   185/  360 batches | accuracy    1.000
| epoch   5 |   190/  360 batches | accuracy    0.800
| epoch   5 |   195/  360 batches | accuracy    1.000
| epoch   5 |   200/  360 batches | accuracy    1.000
| epoch   5 |   205/  360 batches | accuracy    0.800
| epoch   5 |   210/  360 batches | accuracy    1.000
| epoch   5 |   215/  360 batches | accuracy    1.000
| epoch   5 |   220/  360 batches | accuracy    1.000
| epoch   5 |   225/  360 batches | accuracy    1.000
| epoch   5 |   230/  360 batches | accuracy    0.800
| epoch   5 |   235/  360 batches | accuracy    1.000
| epoch   5 |   240/  360 batches | accuracy    1.000
| epoch   5 |   245/  360 batches | accuracy    1.000
| epoch   5 |   250/  360 batches | accuracy    1.000
| epoch   5 |   255/  360 batches | accuracy    1.000
| epoch   5 |   260/  360 batches | accuracy    1.000
| epoch   5 |   265/  360 batches | accuracy    0.800
| epoch   5 |   270/  360 batches | accuracy    1.000
| epoch   5 |   275/  360 batches | accuracy    1.000
| epoch   5 |   280/  360 batches | accuracy    1.000
| epoch   5 |   285/  360 batches | accuracy    0.800
| epoch   5 |   290/  360 batches | accuracy    1.000
| epoch   5 |   295/  360 batches | accuracy    1.000
| epoch   5 |   300/  360 batches | accuracy    1.000
| epoch   5 |   305/  360 batches | accuracy    1.000
| epoch   5 |   310/  360 batches | accuracy    0.800
| epoch   5 |   315/  360 batches | accuracy    1.000
| epoch   5 |   320/  360 batches | accuracy    0.800
| epoch   5 |   325/  360 batches | accuracy    1.000
| epoch   5 |   330/  360 batches | accuracy    1.000
| epoch   5 |   335/  360 batches | accuracy    0.600
| epoch   5 |   340/  360 batches | accuracy    1.000
| epoch   5 |   345/  360 batches | accuracy    0.800
| epoch   5 |   350/  360 batches | accuracy    1.000
| epoch   5 |   355/  360 batches | accuracy    0.800
-----------------------------------------------------------
| end of epoch   5 | time:  1.38s | valid accuracy    0.947
-----------------------------------------------------------
Checking the results of test dataset.
test accuracy    0.923
